node_index,probability
219,0.00034002
473,0.00034002
474,0.00034002
475,0.00034002
491,0.00034002
497,0.00034002
671,0.00034002
672,0.00034002
673,0.00034002
674,0.00034002
675,0.00034002
676,0.00034002
677,0.00034002
678,0.00034002
679,0.00034002
680,0.00034002
681,0.00034002
682,0.00034002
683,0.00034002
684,0.00034002
685,0.00034002
686,0.00034002
687,0.00034002
688,0.00034002
689,0.00034002
690,0.00034002
691,0.00034002
775,0.00034002
986,0.00034002
987,0.00034002
988,0.00034002
989,0.00034002
990,0.00034002
1031,0.00034002
1032,0.00034002
1033,0.00034002
1034,0.00034002
1035,0.00034002
1036,0.00034002
1037,0.00034002
1038,0.00034002
1163,0.00034002
1164,0.00034002
1166,0.00034002
1188,0.00034002
1210,0.00034002
1211,0.00034002
1219,0.00034002
1247,0.00034002
1283,0.00034002
1284,0.00034002
1285,0.00034002
1796,0.00034002
1885,0.00034002
1886,0.00034002
1887,0.00034002
1888,0.00034002
1889,0.00034002
1890,0.00034002
1891,0.00034002
1892,0.00034002
2319,0.00034002
2320,0.00034002
2321,0.00034002
2322,0.00034002
2451,0.00034002
2452,0.00034002
2453,0.00034002
2454,0.00034002
2455,0.00034002
2456,0.00034002
2457,0.00034002
2467,0.00034002
2518,0.00034002
2538,0.00034002
2539,0.00034002
2540,0.00034002
2541,0.00034002
2652,0.00034002
3598,0.00034002
3601,0.00034002
3602,0.00034002
3603,0.00034002
3604,0.00034002
3791,0.00034002
3792,0.00034002
3793,0.00034002
3794,0.00034002
3797,0.00034002
3800,0.00034002
3801,0.00034002
3802,0.00034002
3803,0.00034002
3804,0.00034002
3805,0.00034002
3806,0.00034002
3807,0.00034002
3808,0.00034002
3809,0.00034002
3810,0.00034002
3811,0.00034002
3812,0.00034002
3813,0.00034002
3814,0.00034002
3815,0.00034002
3816,0.00034002
3817,0.00034002
3818,0.00034002
3819,0.00034002
3820,0.00034002
3821,0.00034002
3822,0.00034002
3823,0.00034002
3824,0.00034002
3825,0.00034002
3826,0.00034002
3827,0.00034002
3828,0.00034002
3829,0.00034002
3830,0.00034002
3831,0.00034002
3833,0.00034002
3834,0.00034002
4141,0.00034002
4143,0.00034002
4150,0.00034002
4153,0.00034002
4419,0.00034002
4420,0.00034002
4421,0.00034002
4422,0.00034002
4429,0.00034002
4430,0.00034002
5338,0.00034002
5339,0.00034002
5340,0.00034002
5341,0.00034002
5342,0.00034002
5343,0.00034002
5344,0.00034002
5346,0.00034002
5348,0.00034002
5349,0.00034002
5350,0.00034002
5351,0.00034002
5352,0.00034002
5353,0.00034002
5355,0.00034002
5356,0.00034002
5357,0.00034002
5358,0.00034002
5359,0.00034002
5360,0.00034002
5361,0.00034002
5362,0.00034002
5363,0.00034002
5364,0.00034002
5365,0.00034002
5366,0.00034002
5367,0.00034002
5368,0.00034002
5369,0.00034002
5370,0.00034002
5371,0.00034002
5372,0.00034002
5373,0.00034002
5374,0.00034002
5375,0.00034002
5376,0.00034002
5377,0.00034002
5378,0.00034002
5379,0.00034002
5380,0.00034002
5381,0.00034002
5382,0.00034002
5383,0.00034002
5384,0.00034002
5385,0.00034002
5386,0.00034002
5387,0.00034002
5388,0.00034002
5389,0.00034002
5390,0.00034002
5391,0.00034002
5392,0.00034002
5393,0.00034002
5394,0.00034002
5395,0.00034002
5396,0.00034002
5397,0.00034002
5398,0.00034002
5399,0.00034002
5400,0.00034002
5401,0.00034002
5402,0.00034002
5403,0.00034002
5405,0.00034002
5406,0.00034002
5407,0.00034002
5408,0.00034002
5409,0.00034002
5410,0.00034002
5411,0.00034002
5412,0.00034002
5413,0.00034002
5414,0.00034002
5415,0.00034002
5416,0.00034002
5417,0.00034002
5418,0.00034002
5419,0.00034002
5420,0.00034002
5421,0.00034002
5422,0.00034002
5423,0.00034002
5424,0.00034002
5434,0.00034002
5435,0.00034002
5436,0.00034002
5437,0.00034002
5438,0.00034002
5439,0.00034002
5440,0.00034002
5441,0.00034002
5442,0.00034002
5443,0.00034002
5444,0.00034002
5445,0.00034002
5446,0.00034002
5447,0.00034002
5448,0.00034002
5449,0.00034002
5450,0.00034002
5451,0.00034002
5452,0.00034002
5453,0.00034002
5454,0.00034002
5455,0.00034002
5456,0.00034002
5457,0.00034002
5458,0.00034002
5459,0.00034002
5460,0.00034002
5461,0.00034002
5462,0.00034002
5463,0.00034002
5464,0.00034002
5465,0.00034002
5466,0.00034002
5467,0.00034002
5468,0.00034002
5469,0.00034002
5470,0.00034002
5471,0.00034002
5472,0.00034002
5473,0.00034002
5474,0.00034002
5475,0.00034002
5476,0.00034002
5477,0.00034002
5478,0.00034002
5479,0.00034002
5480,0.00034002
5481,0.00034002
5482,0.00034002
5483,0.00034002
5484,0.00034002
5485,0.00034002
5486,0.00034002
5487,0.00034002
5488,0.00034002
5489,0.00034002
5490,0.00034002
5491,0.00034002
5496,0.00034002
5497,0.00034002
5498,0.00034002
5499,0.00034002
5500,0.00034002
5501,0.00034002
5502,0.00034002
5503,0.00034002
5504,0.00034002
5505,0.00034002
5506,0.00034002
5507,0.00034002
5508,0.00034002
5509,0.00034002
5510,0.00034002
5511,0.00034002
5512,0.00034002
5513,0.00034002
5514,0.00034002
5515,0.00034002
5516,0.00034002
5517,0.00034002
5518,0.00034002
5519,0.00034002
5520,0.00034002
5521,0.00034002
5522,0.00034002
5523,0.00034002
5524,0.00034002
5525,0.00034002
5526,0.00034002
5527,0.00034002
5528,0.00034002
5529,0.00034002
5530,0.00034002
5531,0.00034002
5532,0.00034002
5533,0.00034002
5534,0.00034002
5535,0.00034002
5536,0.00034002
5537,0.00034002
5538,0.00034002
5539,0.00034002
5540,0.00034002
5541,0.00034002
5542,0.00034002
5543,0.00034002
5544,0.00034002
5545,0.00034002
5546,0.00034002
5547,0.00034002
5548,0.00034002
5549,0.00034002
5550,0.00034002
5551,0.00034002
5552,0.00034002
5553,0.00034002
5554,0.00034002
5555,0.00034002
5556,0.00034002
5557,0.00034002
5558,0.00034002
5559,0.00034002
5560,0.00034002
5561,0.00034002
5562,0.00034002
5563,0.00034002
5564,0.00034002
5565,0.00034002
5566,0.00034002
5567,0.00034002
5568,0.00034002
5569,0.00034002
5570,0.00034002
5571,0.00034002
5572,0.00034002
5573,0.00034002
5574,0.00034002
5575,0.00034002
5576,0.00034002
5577,0.00034002
5578,0.00034002
5579,0.00034002
5580,0.00034002
5581,0.00034002
5582,0.00034002
5583,0.00034002
5584,0.00034002
5585,0.00034002
5586,0.00034002
5587,0.00034002
5588,0.00034002
5589,0.00034002
5590,0.00034002
5591,0.00034002
5592,0.00034002
5593,0.00034002
5594,0.00034002
5595,0.00034002
5596,0.00034002
5597,0.00034002
5598,0.00034002
5599,0.00034002
5600,0.00034002
5601,0.00034002
5602,0.00034002
5603,0.00034002
5604,0.00034002
5605,0.00034002
5606,0.00034002
5607,0.00034002
5608,0.00034002
5609,0.00034002
5610,0.00034002
5611,0.00034002
5612,0.00034002
6610,0.00034002
6632,0.00034002
6633,0.00034002
6635,0.00034002
6636,0.00034002
6640,0.00034002
6645,0.00034002
6646,0.00034002
6647,0.00034002
6648,0.00034002
6649,0.00034002
6650,0.00034002
6651,0.00034002
6652,0.00034002
6653,0.00034002
6654,0.00034002
6655,0.00034002
6656,0.00034002
6657,0.00034002
6658,0.00034002
6659,0.00034002
6660,0.00034002
6661,0.00034002
6662,0.00034002
6663,0.00034002
6664,0.00034002
6665,0.00034002
6666,0.00034002
6667,0.00034002
6668,0.00034002
6669,0.00034002
6670,0.00034002
6671,0.00034002
6672,0.00034002
6673,0.00034002
6674,0.00034002
6675,0.00034002
6676,0.00034002
6677,0.00034002
6678,0.00034002
6679,0.00034002
6680,0.00034002
6681,0.00034002
6682,0.00034002
6683,0.00034002
6684,0.00034002
6685,0.00034002
6686,0.00034002
6687,0.00034002
6688,0.00034002
6689,0.00034002
6690,0.00034002
6691,0.00034002
6692,0.00034002
6693,0.00034002
6694,0.00034002
6695,0.00034002
6696,0.00034002
6697,0.00034002
6698,0.00034002
6699,0.00034002
6700,0.00034002
6701,0.00034002
6702,0.00034002
6703,0.00034002
6704,0.00034002
6705,0.00034002
6706,0.00034002
6707,0.00034002
6708,0.00034002
6710,0.00034002
6711,0.00034002
6712,0.00034002
6713,0.00034002
6714,0.00034002
6715,0.00034002
6716,0.00034002
6717,0.00034002
6718,0.00034002
6719,0.00034002
6720,0.00034002
6721,0.00034002
6722,0.00034002
6723,0.00034002
6724,0.00034002
6725,0.00034002
6726,0.00034002
6727,0.00034002
6728,0.00034002
6729,0.00034002
6730,0.00034002
6731,0.00034002
6732,0.00034002
6733,0.00034002
6734,0.00034002
6735,0.00034002
6736,0.00034002
6737,0.00034002
6738,0.00034002
6739,0.00034002
6740,0.00034002
6741,0.00034002
6742,0.00034002
6743,0.00034002
6744,0.00034002
6745,0.00034002
6746,0.00034002
6747,0.00034002
6748,0.00034002
6749,0.00034002
6750,0.00034002
6751,0.00034002
6752,0.00034002
6753,0.00034002
6754,0.00034002
6755,0.00034002
6756,0.00034002
6757,0.00034002
6758,0.00034002
6759,0.00034002
6760,0.00034002
6761,0.00034002
6762,0.00034002
6763,0.00034002
6764,0.00034002
6765,0.00034002
6766,0.00034002
6767,0.00034002
6768,0.00034002
6769,0.00034002
6770,0.00034002
6771,0.00034002
6772,0.00034002
6773,0.00034002
6774,0.00034002
6775,0.00034002
6776,0.00034002
6777,0.00034002
6778,0.00034002
6779,0.00034002
6780,0.00034002
6781,0.00034002
6782,0.00034002
6783,0.00034002
6784,0.00034002
6785,0.00034002
6786,0.00034002
6787,0.00034002
6788,0.00034002
6789,0.00034002
6790,0.00034002
6791,0.00034002
6792,0.00034002
6793,0.00034002
6794,0.00034002
6795,0.00034002
6796,0.00034002
6797,0.00034002
6798,0.00034002
6799,0.00034002
6800,0.00034002
6801,0.00034002
6802,0.00034002
6803,0.00034002
6804,0.00034002
6805,0.00034002
6806,0.00034002
6807,0.00034002
6808,0.00034002
6809,0.00034002
6810,0.00034002
6811,0.00034002
6812,0.00034002
6813,0.00034002
6814,0.00034002
6815,0.00034002
6816,0.00034002
6817,0.00034002
6818,0.00034002
6819,0.00034002
6820,0.00034002
6821,0.00034002
6822,0.00034002
6824,0.00034002
6825,0.00034002
6826,0.00034002
6827,0.00034002
6828,0.00034002
6829,0.00034002
6830,0.00034002
6831,0.00034002
6832,0.00034002
6833,0.00034002
6834,0.00034002
6835,0.00034002
6836,0.00034002
6838,0.00034002
6839,0.00034002
6840,0.00034002
6841,0.00034002
6842,0.00034002
6843,0.00034002
6844,0.00034002
6845,0.00034002
6846,0.00034002
6847,0.00034002
6848,0.00034002
6849,0.00034002
6850,0.00034002
6851,0.00034002
6852,0.00034002
6853,0.00034002
6854,0.00034002
6855,0.00034002
6856,0.00034002
6857,0.00034002
6858,0.00034002
6859,0.00034002
6860,0.00034002
6861,0.00034002
6862,0.00034002
6863,0.00034002
6864,0.00034002
6865,0.00034002
6866,0.00034002
6867,0.00034002
6868,0.00034002
6869,0.00034002
6870,0.00034002
6871,0.00034002
6872,0.00034002
6873,0.00034002
6874,0.00034002
6875,0.00034002
6876,0.00034002
6879,0.00034002
6880,0.00034002
6881,0.00034002
6882,0.00034002
6883,0.00034002
6884,0.00034002
6885,0.00034002
6886,0.00034002
6887,0.00034002
6888,0.00034002
6889,0.00034002
6890,0.00034002
6891,0.00034002
6892,0.00034002
6893,0.00034002
6894,0.00034002
6895,0.00034002
6896,0.00034002
6897,0.00034002
6898,0.00034002
6899,0.00034002
6900,0.00034002
6901,0.00034002
6902,0.00034002
6903,0.00034002
6904,0.00034002
6905,0.00034002
6906,0.00034002
6907,0.00034002
6908,0.00034002
6909,0.00034002
6910,0.00034002
6911,0.00034002
6912,0.00034002
6913,0.00034002
6914,0.00034002
6915,0.00034002
6918,0.00034002
6919,0.00034002
6920,0.00034002
6921,0.00034002
6922,0.00034002
6923,0.00034002
6924,0.00034002
6925,0.00034002
6926,0.00034002
6928,0.00034002
6929,0.00034002
6930,0.00034002
6931,0.00034002
6932,0.00034002
6933,0.00034002
6934,0.00034002
6935,0.00034002
6936,0.00034002
6937,0.00034002
6938,0.00034002
6939,0.00034002
6940,0.00034002
6941,0.00034002
6942,0.00034002
6943,0.00034002
6944,0.00034002
6945,0.00034002
6946,0.00034002
6947,0.00034002
6948,0.00034002
6949,0.00034002
6950,0.00034002
6951,0.00034002
6952,0.00034002
6953,0.00034002
6954,0.00034002
6955,0.00034002
6956,0.00034002
6957,0.00034002
6958,0.00034002
6959,0.00034002
6960,0.00034002
6961,0.00034002
6962,0.00034002
6963,0.00034002
6964,0.00034002
6965,0.00034002
6966,0.00034002
6967,0.00034002
6968,0.00034002
6969,0.00034002
6970,0.00034002
6971,0.00034002
6972,0.00034002
6973,0.00034002
6974,0.00034002
6975,0.00034002
6976,0.00034002
6977,0.00034002
6978,0.00034002
6979,0.00034002
6980,0.00034002
6981,0.00034002
6982,0.00034002
6983,0.00034002
6984,0.00034002
6985,0.00034002
6986,0.00034002
6987,0.00034002
6988,0.00034002
6989,0.00034002
6990,0.00034002
6991,0.00034002
6992,0.00034002
6993,0.00034002
6994,0.00034002
6995,0.00034002
6996,0.00034002
6997,0.00034002
6998,0.00034002
6999,0.00034002
7000,0.00034002
7001,0.00034002
7002,0.00034002
7003,0.00034002
7004,0.00034002
7005,0.00034002
7006,0.00034002
7007,0.00034002
7008,0.00034002
7009,0.00034002
7010,0.00034002
7011,0.00034002
7012,0.00034002
7013,0.00034002
7014,0.00034002
7015,0.00034002
7016,0.00034002
7017,0.00034002
7018,0.00034002
7019,0.00034002
7020,0.00034002
7021,0.00034002
7022,0.00034002
7023,0.00034002
7024,0.00034002
7025,0.00034002
7026,0.00034002
7027,0.00034002
7028,0.00034002
7029,0.00034002
7030,0.00034002
7031,0.00034002
7032,0.00034002
7033,0.00034002
7034,0.00034002
7035,0.00034002
7036,0.00034002
7037,0.00034002
7038,0.00034002
7039,0.00034002
7040,0.00034002
7041,0.00034002
7042,0.00034002
7043,0.00034002
7044,0.00034002
7045,0.00034002
7046,0.00034002
7047,0.00034002
7048,0.00034002
7049,0.00034002
7050,0.00034002
7051,0.00034002
7052,0.00034002
7053,0.00034002
7054,0.00034002
7055,0.00034002
7056,0.00034002
7057,0.00034002
7058,0.00034002
7059,0.00034002
7060,0.00034002
7061,0.00034002
7062,0.00034002
7063,0.00034002
7064,0.00034002
7065,0.00034002
7066,0.00034002
7067,0.00034002
7068,0.00034002
7069,0.00034002
7070,0.00034002
7071,0.00034002
7072,0.00034002
7073,0.00034002
7074,0.00034002
7075,0.00034002
7076,0.00034002
7077,0.00034002
7078,0.00034002
7079,0.00034002
7080,0.00034002
7081,0.00034002
7082,0.00034002
7083,0.00034002
7084,0.00034002
7085,0.00034002
7086,0.00034002
7087,0.00034002
7088,0.00034002
7089,0.00034002
7090,0.00034002
7091,0.00034002
7092,0.00034002
7093,0.00034002
7094,0.00034002
7095,0.00034002
7096,0.00034002
7097,0.00034002
7098,0.00034002
7099,0.00034002
7100,0.00034002
7101,0.00034002
7102,0.00034002
7103,0.00034002
7104,0.00034002
7105,0.00034002
7106,0.00034002
7107,0.00034002
7108,0.00034002
7109,0.00034002
7110,0.00034002
7111,0.00034002
7112,0.00034002
7113,0.00034002
7114,0.00034002
7115,0.00034002
7116,0.00034002
7117,0.00034002
7118,0.00034002
7119,0.00034002
7120,0.00034002
7121,0.00034002
7122,0.00034002
7123,0.00034002
7124,0.00034002
7125,0.00034002
7126,0.00034002
7127,0.00034002
7128,0.00034002
7129,0.00034002
7130,0.00034002
7131,0.00034002
7132,0.00034002
7133,0.00034002
7134,0.00034002
7135,0.00034002
7136,0.00034002
7137,0.00034002
7138,0.00034002
7139,0.00034002
7140,0.00034002
7141,0.00034002
7142,0.00034002
7143,0.00034002
7144,0.00034002
7145,0.00034002
7146,0.00034002
7147,0.00034002
7148,0.00034002
7149,0.00034002
7150,0.00034002
7151,0.00034002
7152,0.00034002
7153,0.00034002
7154,0.00034002
7155,0.00034002
7156,0.00034002
7157,0.00034002
7158,0.00034002
7159,0.00034002
7160,0.00034002
7161,0.00034002
7162,0.00034002
7163,0.00034002
7164,0.00034002
7165,0.00034002
7166,0.00034002
7167,0.00034002
7168,0.00034002
7169,0.00034002
7170,0.00034002
7171,0.00034002
7172,0.00034002
7173,0.00034002
7174,0.00034002
7175,0.00034002
7176,0.00034002
7177,0.00034002
7178,0.00034002
7179,0.00034002
7180,0.00034002
7181,0.00034002
7182,0.00034002
7183,0.00034002
7184,0.00034002
7185,0.00034002
7186,0.00034002
7187,0.00034002
7188,0.00034002
7189,0.00034002
7190,0.00034002
7191,0.00034002
7192,0.00034002
7193,0.00034002
7194,0.00034002
7195,0.00034002
7196,0.00034002
7197,0.00034002
7198,0.00034002
7199,0.00034002
7200,0.00034002
7201,0.00034002
7202,0.00034002
7203,0.00034002
7204,0.00034002
7205,0.00034002
7206,0.00034002
7207,0.00034002
7208,0.00034002
7209,0.00034002
7210,0.00034002
7211,0.00034002
7212,0.00034002
7213,0.00034002
7214,0.00034002
7215,0.00034002
7216,0.00034002
7217,0.00034002
7218,0.00034002
7219,0.00034002
7220,0.00034002
7224,0.00034002
7225,0.00034002
7226,0.00034002
7227,0.00034002
7228,0.00034002
7229,0.00034002
7230,0.00034002
7231,0.00034002
7232,0.00034002
7233,0.00034002
7234,0.00034002
7235,0.00034002
7236,0.00034002
7237,0.00034002
7238,0.00034002
7239,0.00034002
7240,0.00034002
7241,0.00034002
7242,0.00034002
7243,0.00034002
7244,0.00034002
7245,0.00034002
7246,0.00034002
7247,0.00034002
7248,0.00034002
7249,0.00034002
7250,0.00034002
7251,0.00034002
7252,0.00034002
7253,0.00034002
7254,0.00034002
7255,0.00034002
7256,0.00034002
7263,0.00034002
7264,0.00034002
7265,0.00034002
7266,0.00034002
7267,0.00034002
7268,0.00034002
7269,0.00034002
7270,0.00034002
7271,0.00034002
7272,0.00034002
7273,0.00034002
7274,0.00034002
7275,0.00034002
7276,0.00034002
7277,0.00034002
7278,0.00034002
7279,0.00034002
7280,0.00034002
7281,0.00034002
7282,0.00034002
7283,0.00034002
7284,0.00034002
7285,0.00034002
7286,0.00034002
7287,0.00034002
7288,0.00034002
7289,0.00034002
7290,0.00034002
7291,0.00034002
7292,0.00034002
7293,0.00034002
7294,0.00034002
7295,0.00034002
7296,0.00034002
7297,0.00034002
7298,0.00034002
7299,0.00034002
7300,0.00034002
7301,0.00034002
7302,0.00034002
7303,0.00034002
7304,0.00034002
7305,0.00034002
7306,0.00034002
7307,0.00034002
7308,0.00034002
7309,0.00034002
7310,0.00034002
7311,0.00034002
7312,0.00034002
7313,0.00034002
7314,0.00034002
7315,0.00034002
7316,0.00034002
7317,0.00034002
7318,0.00034002
7319,0.00034002
7320,0.00034002
7321,0.00034002
7322,0.00034002
7323,0.00034002
7324,0.00034002
7325,0.00034002
7326,0.00034002
7327,0.00034002
7328,0.00034002
7329,0.00034002
7330,0.00034002
7331,0.00034002
7332,0.00034002
7333,0.00034002
7334,0.00034002
7335,0.00034002
7336,0.00034002
7413,0.00034002
7414,0.00034002
7415,0.00034002
7416,0.00034002
7417,0.00034002
7418,0.00034002
7419,0.00034002
7430,0.00034002
7431,0.00034002
7433,0.00034002
7434,0.00034002
7435,0.00034002
7436,0.00034002
7437,0.00034002
7438,0.00034002
7439,0.00034002
7440,0.00034002
7441,0.00034002
7442,0.00034002
7443,0.00034002
7444,0.00034002
7445,0.00034002
7446,0.00034002
7447,0.00034002
7452,0.00034002
7453,0.00034002
7454,0.00034002
7455,0.00034002
7456,0.00034002
7457,0.00034002
7539,0.00034002
7541,0.00034002
7542,0.00034002
7544,0.00034002
7547,0.00034002
7548,0.00034002
7549,0.00034002
7550,0.00034002
7551,0.00034002
7552,0.00034002
7553,0.00034002
7554,0.00034002
7557,0.00034002
7558,0.00034002
7559,0.00034002
7574,0.00034002
7575,0.00034002
7576,0.00034002
7577,0.00034002
7578,0.00034002
7579,0.00034002
7580,0.00034002
7581,0.00034002
7582,0.00034002
7583,0.00034002
7584,0.00034002
7585,0.00034002
7586,0.00034002
7587,0.00034002
7588,0.00034002
7589,0.00034002
7590,0.00034002
7591,0.00034002
7592,0.00034002
7593,0.00034002
7594,0.00034002
7595,0.00034002
7596,0.00034002
7597,0.00034002
7598,0.00034002
7599,0.00034002
7600,0.00034002
7601,0.00034002
7602,0.00034002
7603,0.00034002
7604,0.00034002
7605,0.00034002
7606,0.00034002
7607,0.00034002
7608,0.00034002
7609,0.00034002
7610,0.00034002
7611,0.00034002
7612,0.00034002
7613,0.00034002
7614,0.00034002
7616,0.00034002
7619,0.00034002
7620,0.00034002
7621,0.00034002
7622,0.00034002
7623,0.00034002
7624,0.00034002
7625,0.00034002
7626,0.00034002
7627,0.00034002
7628,0.00034002
7629,0.00034002
7630,0.00034002
7631,0.00034002
7632,0.00034002
7633,0.00034002
7634,0.00034002
7635,0.00034002
7636,0.00034002
7637,0.00034002
7638,0.00034002
7639,0.00034002
7640,0.00034002
7642,0.00034002
7643,0.00034002
7644,0.00034002
7646,0.00034002
7648,0.00034002
7649,0.00034002
7650,0.00034002
7651,0.00034002
7652,0.00034002
7654,0.00034002
7656,0.00034002
7657,0.00034002
7658,0.00034002
7659,0.00034002
7660,0.00034002
7661,0.00034002
7662,0.00034002
7663,0.00034002
7664,0.00034002
7665,0.00034002
7666,0.00034002
7668,0.00034002
7669,0.00034002
7670,0.00034002
7671,0.00034002
7673,0.00034002
7674,0.00034002
7675,0.00034002
7676,0.00034002
7677,0.00034002
7678,0.00034002
7679,0.00034002
7680,0.00034002
7681,0.00034002
7682,0.00034002
7683,0.00034002
7684,0.00034002
7685,0.00034002
7686,0.00034002
7687,0.00034002
7688,0.00034002
7689,0.00034002
7690,0.00034002
7691,0.00034002
7692,0.00034002
7693,0.00034002
7694,0.00034002
7695,0.00034002
7696,0.00034002
7697,0.00034002
7698,0.00034002
7699,0.00034002
7700,0.00034002
7701,0.00034002
7702,0.00034002
7703,0.00034002
7708,0.00034002
7709,0.00034002
7710,0.00034002
7711,0.00034002
7712,0.00034002
7713,0.00034002
7714,0.00034002
7715,0.00034002
7716,0.00034002
7717,0.00034002
7718,0.00034002
7719,0.00034002
7720,0.00034002
7721,0.00034002
7722,0.00034002
7724,0.00034002
7726,0.00034002
7729,0.00034002
7733,0.00034002
7734,0.00034002
7736,0.00034002
7737,0.00034002
7742,0.00034002
7744,0.00034002
7745,0.00034002
7746,0.00034002
7747,0.00034002
7751,0.00034002
7753,0.00034002
7755,0.00034002
7760,0.00034002
7761,0.00034002
7809,0.00034002
7810,0.00034002
7814,0.00034002
7841,0.00034002
7842,0.00034002
7843,0.00034002
7844,0.00034002
7845,0.00034002
7846,0.00034002
7847,0.00034002
7848,0.00034002
7849,0.00034002
7850,0.00034002
7851,0.00034002
7852,0.00034002
7853,0.00034002
7854,0.00034002
7855,0.00034002
7856,0.00034002
7857,0.00034002
7858,0.00034002
7859,0.00034002
7860,0.00034002
7889,0.00034002
7890,0.00034002
7891,0.00034002
7892,0.00034002
7893,0.00034002
7894,0.00034002
7895,0.00034002
7896,0.00034002
7897,0.00034002
7898,0.00034002
7899,0.00034002
7900,0.00034002
7901,0.00034002
7902,0.00034002
7903,0.00034002
7904,0.00034002
7905,0.00034002
7906,0.00034002
7907,0.00034002
7908,0.00034002
7909,0.00034002
7910,0.00034002
7911,0.00034002
7912,0.00034002
7913,0.00034002
7915,0.00034002
7916,0.00034002
7918,0.00034002
7919,0.00034002
7920,0.00034002
7921,0.00034002
7922,0.00034002
7923,0.00034002
7924,0.00034002
7925,0.00034002
7926,0.00034002
7927,0.00034002
7928,0.00034002
7929,0.00034002
7930,0.00034002
7931,0.00034002
7932,0.00034002
7933,0.00034002
7934,0.00034002
7935,0.00034002
7938,0.00034002
7939,0.00034002
7940,0.00034002
7941,0.00034002
7942,0.00034002
7943,0.00034002
7945,0.00034002
7946,0.00034002
7947,0.00034002
7948,0.00034002
7949,0.00034002
7950,0.00034002
7951,0.00034002
7952,0.00034002
7953,0.00034002
7954,0.00034002
7955,0.00034002
7956,0.00034002
7957,0.00034002
7958,0.00034002
7959,0.00034002
7960,0.00034002
7961,0.00034002
7962,0.00034002
7963,0.00034002
7964,0.00034002
7965,0.00034002
7966,0.00034002
7967,0.00034002
7968,0.00034002
7969,0.00034002
7970,0.00034002
7971,0.00034002
7972,0.00034002
7973,0.00034002
7974,0.00034002
7975,0.00034002
7976,0.00034002
7977,0.00034002
7978,0.00034002
7979,0.00034002
7980,0.00034002
7981,0.00034002
7982,0.00034002
7983,0.00034002
7984,0.00034002
7985,0.00034002
7986,0.00034002
7987,0.00034002
7988,0.00034002
8012,0.00034002
8022,0.00034002
8023,0.00034002
8024,0.00034002
8025,0.00034002
8026,0.00034002
8027,0.00034002
8028,0.00034002
8029,0.00034002
8030,0.00034002
8031,0.00034002
8032,0.00034002
8033,0.00034002
8034,0.00034002
8035,0.00034002
8036,0.00034002
8037,0.00034002
8038,0.00034002
8039,0.00034002
8040,0.00034002
8041,0.00034002
8042,0.00034002
8043,0.00034002
8044,0.00034002
8045,0.00034002
8046,0.00034002
8047,0.00034002
8048,0.00034002
8049,0.00034002
8050,0.00034002
8051,0.00034002
8093,0.00034002
8095,0.00034002
8096,0.00034002
8098,0.00034002
8448,0.00034002
8449,0.00034002
8450,0.00034002
8451,0.00034002
8452,0.00034002
8453,0.00034002
8454,0.00034002
8455,0.00034002
8456,0.00034002
8457,0.00034002
8458,0.00034002
8459,0.00034002
8460,0.00034002
8461,0.00034002
8462,0.00034002
8463,0.00034002
8464,0.00034002
8465,0.00034002
8466,0.00034002
8467,0.00034002
8468,0.00034002
8469,0.00034002
8470,0.00034002
8471,0.00034002
8472,0.00034002
8473,0.00034002
8474,0.00034002
8475,0.00034002
8476,0.00034002
8477,0.00034002
8478,0.00034002
8479,0.00034002
8480,0.00034002
8481,0.00034002
8482,0.00034002
8483,0.00034002
8484,0.00034002
8485,0.00034002
8486,0.00034002
8487,0.00034002
8488,0.00034002
8489,0.00034002
8490,0.00034002
8491,0.00034002
8492,0.00034002
8493,0.00034002
8494,0.00034002
8495,0.00034002
8496,0.00034002
8497,0.00034002
8498,0.00034002
8499,0.00034002
8500,0.00034002
8501,0.00034002
8502,0.00034002
8503,0.00034002
8504,0.00034002
8505,0.00034002
8506,0.00034002
8507,0.00034002
8508,0.00034002
8509,0.00034002
8510,0.00034002
8511,0.00034002
8512,0.00034002
8513,0.00034002
8514,0.00034002
8515,0.00034002
8516,0.00034002
8517,0.00034002
8518,0.00034002
8519,0.00034002
8520,0.00034002
8521,0.00034002
8522,0.00034002
8523,0.00034002
8524,0.00034002
8525,0.00034002
8526,0.00034002
8527,0.00034002
8528,0.00034002
8529,0.00034002
8530,0.00034002
8531,0.00034002
8532,0.00034002
8533,0.00034002
8534,0.00034002
8535,0.00034002
8536,0.00034002
8537,0.00034002
8538,0.00034002
8539,0.00034002
